"Unidade Federação";"2015";"2016";"2017";"2018";"2019";" Total"
"Acre";"28,01";"19,60";"19,57";"6,50";"23,63";"22,55"
"Alagoas";"18,05";"20,00";"25,45";"13,01";"15,61";"20,66"
"Amapá";"30,91";"18,78";"27,30";"24,59";"26,09";"26,03"
"Amazonas";"16,40";"15,49";"18,31";"22,53";"28,61";"18,04"
"Bahia";"15,93";"12,39";"14,62";"21,50";"20,92";"15,17"
"Ceará";"14,54";"14,94";"21,89";"17,75";"22,53";"17,92"
"Distrito Federal";"11,83";"17,00";"17,05";"14,81";"18,37";"16,76"
"Espírito Santo";"17,41";"11,79";"13,61";"14,96";"16,50";"14,39"
"Goiás";"10,89";"10,04";"17,14";"16,26";"23,51";"13,26"
"Maranhão";"17,08";"20,44";"21,11";"20,46";"22,20";"19,75"
"Mato Grosso";"14,13";"8,88";"13,51";"13,52";"16,66";"12,40"
"Mato Grosso do Sul";"15,77";"10,46";"18,11";"15,18";"8,44";"14,46"
"Minas Gerais";"18,20";"7,83";"12,42";"22,23";"26,41";"13,89"
"Pará";"27,11";"19,96";"22,24";"23,43";"22,19";"23,05"
"Paraíba";"14,39";"15,86";"20,57";"15,18";"14,64";"16,35"
"Paraná";"12,68";"10,63";"10,57";"27,52";"23,62";"14,16"
"Pernambuco";"20,71";"12,64";"13,49";"10,87";"20,85";"15,59"
"Piauí";"19,34";"8,99";"13,79";"14,17";"12,53";"13,83"
"Rio de Janeiro";"16,37";"2,98";"8,98";"0,85";"18,84";"8,04"
"Rio Grande do Norte";"20,26";"20,04";"24,07";"14,56";"16,08";"21,15"
"Rio Grande do Sul";"16,78";"10,88";"10,95";"9,50";"16,71";"12,41"
"Rondônia";"21,00";"15,44";"11,12";"24,07";"13,90";"15,29"
"Roraima";"14,75";"14,22";"8,58";"18,15";"14,96";"12,78"
"Santa Catarina";"12,92";"8,48";"15,53";"14,61";"14,71";"12,97"
"São Paulo";"15,02";"16,15";"18,10";"17,42";"22,84";"17,13"
"Sergipe";"19,38";"19,92";"26,15";"14,54";"12,44";"21,79"
"Tocantins";"18,89";"11,33";"12,97";"13,28";"10,35";"14,21"
"Total";"15,83";"14,00";"16,42";"15,34";"22,33";"15,70"
